user,text,date,location,fav_count,re_count,no_followers,hashtags
BabaWawa2020,@sinjinbin @NBCNews I had Covid at the beginning of the Pandemic. I was sick for 4 months and my grandma died. I co… https://t.co/JLaEdYqSOz,2021-06-18 15:53:58,"Minnesota, USA",0,0,31,[]
Annie97644898,I was slow talking flu vaccine until I had to assist with intubation of a flu patient. That morning I got my flu sh… https://t.co/k1i2WYtMMC,2021-06-18 15:51:59,,0,1,1797,[]
RexHarold,"One truth that has been exposed amid Covid is that our lives are being governed by immense stupidity, writes Sanjay… https://t.co/cBEIjPeljE",2021-06-18 15:51:11,"Kollam(Quilon),Kerala,India.",1,0,411,[]
Knewz_Currently,Canada extends Covid-19 travel restrictions with US until July 21 https://t.co/UiaOWuIfHr #NEWS https://t.co/ZoDEpkSkst,2021-06-18 15:50:39,"Va Beach, Virginia",0,0,1315,['NEWS']
GiGiCaponePR,NEWS: Canada extends Covid-19 travel restrictions with US until July 21 https://t.co/LD87queVcM Via @CNN https://t.co/JhlgnNE6nw,2021-06-18 15:50:33,"San Francisco, CA",0,1,7449,[]
ayazhyder,Seriously??? I really want to see my parents soon. Canada extends Covid-19 travel restrictions with US until July 2… https://t.co/bAjoY1fe2c,2021-06-18 15:46:13,"Columbus, OH",0,0,466,[]
explodingtopics,"Here’s an exploding topic: “corona vaccine” (↑ 6000% in 2yrs)

Shot designed to confer immunity from COVID-19. 

Tr… https://t.co/5WjIWZduL1",2021-06-18 15:46:02,,1,1,12917,[]
weiser_juana,The latest on the Covid-19 pandemic in the US: Live updates https://t.co/imgI3Z4shG,2021-06-18 15:44:00,USA,0,0,370,[]
ThoughtsOfTony,"@Bease11 You are a dumba**.

The vaccine does not prevent you from getting covid, it gives your body the tools to f… https://t.co/oQG5PQa02j",2021-06-18 15:43:44,Texas,1,0,21509,[]
theC4AA,This short video sums up why we @uaem and @thec4aa have been working to #FreeTheVaccine &amp; end the pandemic. And it… https://t.co/9AzBKm4BzS,2021-06-18 15:43:34,"New York, NY",5,3,3241,['FreeTheVaccine']
TimRanAway,"@Mabbs5 @CaptainMcWow @AdamKinzinger As does the COVID-19 vaccine. It's been through clinical trials, about 150 mil… https://t.co/HHJFg1xVhM",2021-06-18 15:38:17,,0,0,52,[]
MLAElizabethNS,People thrive in a culture of light and hope. Darkness and Fear keep people paralyzed. The Covid Vaccine provides h… https://t.co/LI7RcyzFs6,2021-06-18 15:30:04,"Cumberland, Nova Scotia",8,0,2325,[]
NIHRcommunity,NIHR's Divya Chadha Manek was recently awarded an OBE in recognition of her contribution to the UK's Vaccine Taskfo… https://t.co/K73PTEItF4,2021-06-18 15:30:02,United Kingdom,5,1,18051,[]
Our_Today_News,"Visit the link:

https://t.co/SIKtwnKy4z

@pfizer @naftalibennett 
#OTnews #telaviv #covid19 #pandemic… https://t.co/19gXJ9OePl",2021-06-18 15:26:38,"Kingston, Jamaica",0,0,261,"['OTnews', 'telaviv', 'covid19', 'pandemic']"
notkaren007,@The_VU_Guru @1tweet4mamkind @FrankLuntz Hello? What am I to thank Trump for in regards to the Pfizer vaccine. I’d… https://t.co/MVzMV0gUNT,2021-06-18 15:25:28,United States,0,0,128,[]
CharlesCMann,"Robert F. Kennedy, Jr., speaking on May 3, 2020, the height of the COVID pandemic, on the need to fight the extinct… https://t.co/Tt5DUn9tK4",2021-06-18 15:24:00,Seized Nipmuc land,20,5,10953,[]
RealyAmerica,"This vaccine was not created for this pandemic, this pandemic was created so they can vaccinate the world.
👉Covid D… https://t.co/cbi9TjbAU5",2021-06-18 15:19:15,🇨🇭,0,0,230,[]
ivor_bacon,@OliverSteinme16 @BrexitFutureUK Covid exists but pandemic is a hoax to bring in vaccine passports/digital IDs for… https://t.co/xbvrqCFok5,2021-06-18 15:17:25,,0,0,366,[]
sautharitonang,"Covid-19 which has become a pandemic, is originated  from CHINA, the WHO really voices the need for a vaccine ? yes… https://t.co/noqUNVcBSi",2021-06-18 15:16:18,Gedung ILP Pancoran (IHII),2,0,87,[]
770CHQR,"“Definitely, as a business, it has been challenging because we’ve had zero revenue whereas we’ve had most of our ex… https://t.co/vacaC5xZnP",2021-06-18 15:13:03,"Calgary, AB",0,0,17015,[]
AfrikaKnow,"Uganda's struggle with the covid pandemic.

#africa #africanews #africai'fo #Africa #africactuality #covid… https://t.co/ELWXf4M3VF",2021-06-18 15:10:17,,0,1,315,"['africa', 'africanews', 'africai', 'Africa', 'africactuality', 'covid']"
therananikhil,"Took my first dose of the COVID-19 #Covaxin Vaccine at Shri Moti Singh Jageshwari Ayurvedic College,Chapra,Saran (B… https://t.co/y7zfSZMkUj",2021-06-18 15:02:56,Ambika Asthan-Chhapra-Patna,2,0,41,['Covaxin']
PandemicAction,"We are alarmingly in the dark about #COVIDVaccines production, pricing, and procurement 🚨
 
Only a handful of contr… https://t.co/FNt1Jk4mVG",2021-06-18 15:01:39,,7,7,2634,['COVIDVaccines']
NIHR_Industry,NIHR's Divya Chadha Manek was recently awarded an OBE in recognition of her contribution to the UK's Vaccine Taskfo… https://t.co/CWPqakz7Ir,2021-06-18 15:00:43,"London, UK",4,1,3621,[]
familyLLB,Law student sues school over COVID-19 vaccine and pandemic-related protocols https://t.co/0u5Anw4ew0 via @ABAJournal,2021-06-18 14:53:35,"Ontario, Canada",0,0,1927,[]
darlaj_okbar,Law student sues school over COVID-19 vaccine and pandemic-related protocols https://t.co/rR4E7AU28C via @ABAJournal,2021-06-18 14:51:38,"Oklahoma, USA",0,0,178,[]
NostraSkepticMe,Way to go right-wing @JoeBiden softball play pandering to your pals the far-right Republican anti-intellectuals dur… https://t.co/9zSmiIj5A3,2021-06-18 14:45:40,"Washington, USA",0,0,338,[]
sandhuamarjot1,Ontario has administered over 12 million doses of the #COVID19 vaccine! Every dose brings us one step closer to the… https://t.co/sq4KdvbICQ,2021-06-18 14:41:06,"Brampton, Ontario",2,0,3674,['COVID19']
lsferrie,"@LD5679 @ridelikeaturtle @karldeeter ""On Covid-19, 70% of those polled said they felt the Government was doing a go… https://t.co/UP4mqrlqO9",2021-06-18 14:38:20,Moscow or Galway,1,0,155,[]
WUSTL,"Could a third dose of the COVID-19 vaccine help those with weak immune systems? 

Dr. Alfred Kim of WashU weighs in… https://t.co/ba4T8WlThX",2021-06-18 14:38:01,"St. Louis, MO",16,9,39834,[]
CareDiversity,"Covid-19 Pandemic and Impact On India’s FP2020
Goals: Estimates and Reality..
Family planning is now viewed as a de… https://t.co/Gs9a3wekoC",2021-06-18 14:36:51,United Kingdom ,0,0,765,[]
JustTreatment,"REVEALED: @AstraZeneca's ""not-for-profit"" pledge on their #COVID vaccine excludes many low &amp; lower-middle income co… https://t.co/lTvC2dEPy0",2021-06-18 14:34:11,United Kingdom,3,2,3635,['COVID']
